Year,Month,SEA,Indonesia,Malaysia,Philippines,Thailand,Vietnam,NEA,China,"Hong Kong SAR, China",Japan,South Asia,Middle East,Oceania ,Europe,France,Germany,United Kingdom,North america,Other countries
1991,1,7836,3800,1654,289,2027,0,8605,0,1382,4040,1575,74,3660,3486,193,307,705,909,58
1991,2,7390,3353,1575,326,2075,0,8458,0,1252,4083,1567,54,4059,4112,244,381,540,995,65
1991,3,8967,4332,2112,329,2105,0,9886,0,1458,4579,1509,122,3641,4330,320,405,717,1067,110
1991,4,7443,3350,1503,299,2237,0,9307,0,1514,4247,1316,181,2966,3747,220,330,693,1027,49
1991,5,8538,3872,1687,345,2544,0,9252,0,1484,4157,1368,174,4095,3663,191,369,692,1120,86
1991,6,8388,3870,1866,296,2266,0,9227,0,1506,4142,1552,229,4670,4286,222,437,749,1480,99
1991,7,8552,4163,1691,452,2164,0,9116,0,1672,3911,1648,119,3879,4324,180,488,649,1022,84
1991,8,8788,4360,1741,384,2193,0,8814,0,1659,3697,1656,174,4114,3756,198,404,628,1176,90
1991,9,8580,4174,1760,372,2214,0,8558,0,1557,3830,1710,155,3874,4540,209,458,703,994,89
1991,10,9188,4564,1947,330,2287,0,9009,0,1685,3848,1719,176,3213,4258,170,534,704,1457,83
1991,11,9247,4640,1850,292,2394,0,8998,0,1787,3834,1753,165,3593,4400,258,397,717,1449,53
1991,12,10252,5212,2254,259,2446,0,9231,0,1677,3802,1821,192,3762,4382,202,426,668,1097,153
1992,1,9889,4988,2089,269,2483,0,7905,0,1684,3292,1835,132,4992,3475,145,379,567,1022,88
1992,2,8678,4221,1824,316,2258,0,7659,0,1267,3504,1763,152,4798,4110,285,372,640,1010,72
1992,3,9858,4493,2177,349,2739,0,8861,0,1686,3694,2049,199,5174,4892,309,532,720,1290,88
1992,4,8864,3674,1891,357,2844,0,8356,0,1543,3428,1808,133,3879,4173,296,589,687,1093,95
1992,5,10710,4969,2297,362,2909,0,9338,0,1647,3987,1767,281,3723,4919,452,645,692,1099,123
1992,6,9630,4173,2108,363,2764,0,9351,0,1537,4150,1893,173,4124,4826,596,499,669,1342,103
1992,7,10012,4799,2073,371,2613,0,9764,0,1960,4065,1851,292,3634,5563,537,858,785,1585,113
1992,8,10176,5081,1977,357,2587,0,9508,0,2050,3735,1827,314,4050,4792,388,701,587,1763,204
1992,9,10408,5326,2021,333,2563,0,9605,0,2030,4037,1985,301,4972,4369,236,543,540,1555,164
1992,10,11123,5814,2196,380,2554,0,10557,0,2289,4120,1900,324,4649,5515,355,776,632,1871,160
1992,11,10595,5772,1788,368,2500,0,10688,0,2426,4053,1744,350,4260,5633,319,704,687,1674,140
1992,12,10546,5478,1821,265,2787,0,10934,0,2254,4892,1742,261,4725,5166,327,554,700,1438,196
1993,1,9241,4597,1627,318,2539,0,9544,0,1741,4171,1741,220,4584,4145,265,454,680,1394,116
1993,2,8227,3422,1720,411,2444,0,9638,0,1766,4204,1828,248,4983,4868,274,660,823,1410,165
1993,3,9755,4186,1875,514,2901,0,11013,0,2248,4637,2295,464,5717,6061,558,714,877,1752,200
1993,4,9159,3833,2050,306,2673,0,10499,0,1926,4503,2061,308,4219,5275,345,616,853,1806,141
1993,5,9815,4231,1990,418,2898,0,11242,0,2203,4422,2049,269,4631,5874,346,660,1054,1856,276
1993,6,9548,3838,1773,527,3058,0,10762,0,2107,4619,2200,214,5265,5712,325,742,983,1732,270
1993,7,10406,4546,1930,468,3125,0,12152,0,2563,4902,2347,297,4489,6283,395,673,999,1992,215
1993,8,10127,4372,1628,500,3306,0,11718,0,2715,4279,2286,393,4632,5949,339,867,1053,2111,340
1993,9,10687,4703,1802,564,3343,0,11889,0,2844,4417,2277,484,4832,5945,368,766,1036,1989,269
1993,10,10891,4964,1795,554,3338,0,12759,0,3063,4417,3038,583,5131,6930,286,872,987,2512,301
1993,11,10369,4953,1643,447,3127,0,12486,0,2840,4379,2478,604,5820,6681,349,802,1007,2010,188
1993,12,11304,5474,1831,324,3460,0,12614,0,2628,4607,2319,747,6063,6793,342,800,1025,2259,238
1994,1,10678,4975,1755,464,3249,0,11372,0,2739,3795,2301,683,5405,5921,453,687,869,2373,183
1994,2,9898,4348,1646,477,3238,0,10580,0,2040,4142,2481,790,5639,6037,440,740,1003,1994,174
1994,3,10382,4041,1872,523,3636,0,14020,0,3045,5068,2701,985,6062,7338,469,863,1214,2430,227
1994,4,11045,4497,2200,526,3493,0,12942,0,2662,5021,2780,1006,5118,6076,412,794,955,2444,239
1994,5,11200,4127,2168,595,3970,0,12714,0,2576,4261,2608,1263,5394,6479,408,944,1065,3178,270
1994,6,10895,4321,1914,667,3580,0,14123,0,2844,5130,2462,935,5279,6975,437,835,940,2826,308
1994,7,11196,4437,1987,765,3452,0,13849,0,3121,4973,2695,767,4785,8042,420,891,933,3434,304
1994,8,11389,4713,2092,646,3454,0,13880,0,3263,4586,2786,631,4624,7177,348,761,948,3162,349
1994,9,11744,5011,2029,736,3472,0,14637,0,3498,4971,2824,794,5565,7284,296,825,962,3570,297
1994,10,11766,4976,2123,803,3379,0,15799,0,3479,5508,2530,988,5811,8161,445,925,1040,3778,273
1994,11,11966,5160,2051,831,3493,0,14116,0,3430,4599,2520,798,5664,8085,479,985,1076,3735,312
1994,12,12100,5268,2159,617,3606,0,14250,0,2865,5396,2477,623,6334,8461,495,1115,1047,3516,273
1995,1,10958,4624,1760,631,3580,0,12846,0,3047,4171,2319,589,5646,6881,454,929,886,3322,215
1995,2,10231,4204,1653,685,3312,0,11301,0,1865,4507,2350,540,5624,7504,496,799,1081,3412,237
1995,3,11301,3981,2105,633,4081,0,15078,0,3469,5149,2789,559,6158,8685,629,954,1258,4055,278
1995,4,11184,4592,1980,481,3713,0,15783,0,3273,5264,2688,636,5158,7794,594,899,1165,3840,267
1995,5,11574,4496,2057,496,4141,0,14319,0,2980,4039,2315,782,5751,7795,505,819,1193,4278,346
1995,6,11760,4750,1942,582,4033,0,15737,0,3130,5267,2560,802,6171,7937,494,1063,1075,4181,295
1995,7,11732,4772,1974,686,3844,0,16209,0,3429,5103,3058,1139,5625,8571,618,1111,1015,4118,406
1995,8,11906,4809,2071,790,3754,0,15286,0,3347,4706,3304,962,5488,7669,502,1017,978,3762,409
1995,9,12016,4839,2221,757,3726,0,15887,0,3818,4895,3023,773,5176,8077,663,1000,1153,4328,377
1995,10,11470,4661,1994,851,3554,0,17035,0,3603,5050,2700,1037,5136,8575,643,1133,1294,4335,305
1995,11,11063,4493,1868,725,3572,0,16748,0,3947,5085,2693,907,5279,8327,434,966,1302,4352,275
1995,12,11600,4738,1784,934,3624,0,16811,0,3495,5078,2681,882,6311,8614,594,1118,1145,3961,520
1996,1,11701,4770,1600,866,3848,0,14529,0,2986,4357,2746,622,5765,7439,413,1003,1111,3734,245
1996,2,10900,4193,1405,882,3904,0,13249,0,2657,4446,3055,677,6344,7700,443,840,1240,3574,302
1996,3,11638,4392,2105,856,4014,0,15586,0,3075,4815,3314,1016,6043,8685,546,1108,1452,4370,294
1996,4,12111,5363,1699,880,3729,0,15760,0,3118,4444,3270,847,5254,7544,653,942,1253,3773,283
1996,5,12872,5465,1840,918,4195,0,16049,0,2943,4565,2960,529,5604,8118,614,1155,1362,3374,358
1996,6,12489,5172,1845,1120,3889,0,16962,0,3286,5285,3045,424,5275,8501,746,1134,1306,3748,321
1996,7,12771,5755,1606,989,3764,0,17015,0,3561,4844,3177,575,5035,8638,776,1143,1174,3735,345
1996,8,13698,6075,2038,947,3901,0,16602,0,3751,4535,3561,551,5327,8196,685,959,1083,4201,429
